Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2mHngbc9wHeVuJr59VCV2h,"Char","Amnesty (I)","Crystal Castles",2016-08-19,188333,66,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"witch house,electroclash,new rave,alternative dance","[PIAS] Recordings Catalogue",0.646,0.843,8,-6.644,0,0.131,0.018,0.0733,0.32,0.351,100.004,4
spotify:track:12oxsGACfwMozi4nK9noGQ,"Suffocation","Crystal Castles (II)","Crystal Castles",2010-01-01,242293,74,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"witch house,electroclash,new rave,alternative dance","[PIAS] Recordings Catalogue",0.543,0.705,11,-5.779,1,0.0296,0.00251,0.0341,0.21,0.163,119.942,4
spotify:track:3KZTPBbTMFLNbfoQoxEpXn,"tower of memories","the theory of you","ivri",2025-08-14,208510,75,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","ivri",0.439,0.835,2,-5.045,1,0.0642,0.00794,0.0395,0.362,0.171,80.55,4
spotify:track:5Qv2Nby1xTr9pQyjkrc94J,"All I Need","In Rainbows","Radiohead",2007-12-28,228746,83,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"art rock,alternative rock","XL Recordings",0.67,0.478,4,-8.689,0,0.0355,0.531,0.428,0.138,0.0997,88.014,4
spotify:track:5hxcxipGOjgTzrPOkfsyyS,"Xerces","Saturday Night Wrist","Deftones",2006-10-25,221800,71,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.547,0.736,7,-5.267,0,0.0346,0.000598,0.25,0.469,0.252,120.041,4
spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,"Everlong","The Colour And The Shape","Foo Fighters",1997-05-20,250546,89,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"post-grunge,rock,alternative rock,grunge","RCA Records Label",0.413,0.881,11,-5.541,0,0.0367,0.0000599,0.000308,0.0805,0.364,158.066,4
spotify:track:1SHB1hp6267UK9bJQUxYvO,"Судно (Борис Рыжий)","Этажи","Molchat Doma",2018-09-07,141394,75,true,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"post-punk,darkwave,cold wave,gothic rock","Sacred Bones Records",0.484,0.75,1,-4.176,1,0.0685,0.697,0.862,0.105,0.467,159.992,4
spotify:track:4nvsRb9ypaqqDXcZxjn6ba,"Клетка","Этажи","Molchat Doma",2018-09-07,283485,66,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"post-punk,darkwave,cold wave,gothic rock","Sacred Bones Records",0.505,0.751,2,-4.139,1,0.0411,0.628,0.889,0.0813,0.388,129.915,4
spotify:track:2ASygm7048ssav4ekbehPS,"Beware","Saturday Night Wrist","Deftones",2006-10-25,360666,73,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.265,0.714,8,-5.393,1,0.0375,0.000129,0.432,0.137,0.1,145.156,4
spotify:track:1MxdBJ69LuEx5cI4w2K7JS,"war","We Are Not Friends","We Are Not Friends;Nextime",2024-05-24,159374,56,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"shoegaze","We Are Not Friends 2024 NEXTIME MEDIA LLC",0.569,0.666,9,-3.198,1,0.0296,0.00033,0.842,0.0645,0.106,127.972,4
spotify:track:1acjIzGS1YUrx6nSuktnqU,"Safe In Your Skin","Shed","Title Fight",2011-05-03,154800,37,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"midwest emo,shoegaze,post-hardcore,melodic hardcore,emo","SideOneDummy Records",0.437,0.252,0,-11.114,1,0.0787,0.664,0.908,0.181,0.255,108.881,4
spotify:track:6slWUMiyoNNWcQGu6tkTlH,"Leni (Crystal Castles vs GoodBooks)","Control Freaks (The Remixes)","GoodBooks;Crystal Castles",2021-11-18,256398,71,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"witch house,electroclash,new rave,alternative dance","GoodBooks",0.642,0.641,6,-6.619,0,0.0312,0.0627,0.00289,0.0627,0.55,119.938,4
spotify:track:2R3heksil8zmzSFUwYQIPC,"Empathy","Crystal Castles (II)","Crystal Castles",2010-01-01,251106,68,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"witch house,electroclash,new rave,alternative dance","[PIAS] Recordings Catalogue",0.511,0.903,7,-5.523,0,0.0306,0.12,0.515,0.431,0.332,109.958,4
spotify:track:3runnm7eT71GCu8AwyeMtB,"Сладко","11","SEREBRO",2024-07-19,239413,69,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"","MALFA",0.719,0.782,9,-4.841,0,0.0287,0.00474,0.000391,0.155,0.362,119.01,4
spotify:track:0oxYB9GoOIDrdzniNdKC44,"When the Sun Hits","Souvlaki","Slowdive",1993,285906,79,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"shoegaze,dream pop,slowcore","Creation Records",0.33,0.532,2,-11.764,1,0.0263,0.00101,0.709,0.101,0.218,93.512,4
spotify:track:3K4HG9evC7dg3N0R9cYqk4,"One Step Closer","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,157333,86,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.492,0.969,9,-4.419,1,0.0491,0.0014,0.00000132,0.0787,0.538,95.136,4
spotify:track:4e9eGQYsOiBcftrWXwsVco,"Aerials","Toxicity","System Of A Down",2001-09-04,235053,87,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,4
spotify:track:42T2QQv3xgBlpQxaSP7lnK,"One Last Breath","Weathered","Creed",2001-01-01,238240,86,false,31cz7zqjoco5mj43sax2be24s4a4,2026-03-01T16:20:04Z,"post-grunge","The Bicycle Music Company",0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,4
